coion,water,count,shell
0,6,0.6134346641333966,0-6
0,5,0.35121621959451016,0-5
0,7,0.013524661883452914,0-7
1,4,0.008649783755406116,1-4
1,5,0.006374840628984276,1-5
0,4,0.0058748531286717835,0-4
1,3,0.0007249818754531136,1-3
1,6,0.00017499562510937225,1-6
0,8,2.499937501562461e-05,0-8
