coion,water,count,shell
0,6,0.6088222794430139,0-6
0,5,0.33925401864953375,0-5
1,4,0.016555836104097398,1-4
1,5,0.013662158446038849,1-5
0,7,0.013587160320991975,0-7
0,4,0.007124821879453014,0-4
1,3,0.0007499812504687382,1-3
1,6,0.00013749656258593536,1-6
0,8,8.749781255468613e-05,0-8
1,2,6.249843753906152e-06,1-2
2,3,6.249843753906152e-06,2-3
2,4,6.249843753906152e-06,2-4
