coion,water,count,shell
0,7,0.36172206948262936,0-7
0,8,0.31542114471382154,0-8
0,6,0.10701491293843206,0-6
0,9,0.09722569357660585,0-9
1,7,0.02649337665583604,1-7
1,8,0.023660751478796968,1-8
0,10,0.01630842289427643,0-10
1,6,0.015433641589602599,1-6
1,9,0.01176789136049321,1-9
0,5,0.008747813046738315,0-5
1,5,0.0044363909022744315,1-5
1,10,0.003665750229109389,1-10
0,11,0.0014996250937265683,0-11
2,8,0.0013954844622177788,2-8
2,7,0.0012913438307089894,2-7
2,9,0.000999750062484379,2-9
2,6,0.0007081562942597684,2-6
1,11,0.0005207031575439474,1-11
1,4,0.00041656252603515786,1-4
2,10,0.00037490627343164207,2-10
2,5,0.0002707656419228526,2-5
0,4,0.00020828126301757893,0-4
0,12,0.00014579688411230527,0-12
2,11,0.00012496875781054737,2-11
2,4,8.331250520703157e-05,2-4
1,3,4.1656252603515784e-05,1-3
2,12,2.0828126301757892e-05,2-12
